Airport Code,Page Rank
PGD,2.459875986057243
FAT,2.3887037964039566
FSD,2.364998064533417
IFP,2.3605939545762515
MCG,2.3582574743321874
CAE,2.332178158876971
LGB,2.2902147147697702
DUT,2.278433773009248
AKP,2.2632948431003634
SPN,2.253015531357255
ALZ,2.199386147268572
DAY,2.188607761761533
HOM,2.1522163148774203
SBA,2.1391043465890496
SXP,2.0841230287547665
OOK,2.075333626001706
AUK,2.0705176657975426
EEK,2.066253828901762
WTL,2.0390320488645366
BTV,2.033640723036481
PWM,2.0270441996111765
VEE,2.017350461601544
BED,1.9960247283657255
KZB,1.9950536314085618
NUI,1.9844872958952575
TNK,1.979726408854375
BID,1.968790128539243
WST,1.968790128539243
MA4,1.9687670859732345
SSB,1.9687670859732345
EEN,1.9687670859732345
SPB,1.9687670859732345
AEX,1.9560749909266377
HPB,1.949967416707967
HRL,1.9390006720043518
MQY,1.924677988519158
STT,1.8965416025588508
ORI,1.8963673557742653
HSV,1.8790383528013956
CGA,1.8741871161275607
KXA,1.8741871161275607
FAR,1.8665573618667395
JAC,1.8514005930990973
SMK,1.8436459689480076
MHT,1.8288524786616809
BTI,1.8134487954560508
KKB,1.8006116397448155
AVL,1.7997818934265726
EDA,1.7976491151764709
OPF,1.795177267031673
ARC,1.7919748449640545
MLL,1.7860197891996468
ATT,1.7738208151563157
NUL,1.762448384611898
ABE,1.7586481283974307
AET,1.7392065122322888
HSL,1.7362551146734466
LEX,1.7300639611992699
VPS,1.724878920782967
KUK,1.7248463018062015
BLD,1.7045089830690867
KKH,1.7016200452858183
LBB,1.685178874850254
KAL,1.6736416628240074
FWA,1.6718340797616091
PHO,1.667044419968692
EYW,1.6664227444540798
PPV,1.6648277332024075
LIH,1.6647558794057407
KPN,1.6639333563392458
SBN,1.6603911477566948
BTR,1.6379266130495609
VAK,1.6044089916849975
NUP,1.60035272884174
RBY,1.5921799531321537
EUG,1.5862688184142408
ROP,1.5849664306820463
WBB,1.581087293433753
NKI,1.5767744926944327
BFI,1.571303865902397
DGB,1.5705790970037636
SHV,1.5693485179085978
RCE,1.5664911142462237
PKA,1.562281277482534
ISP,1.561291686490536
KCC,1.5588437101349693
SHH,1.5494234942482203
ECP,1.548322404432073
KWK,1.531731281651371
HDN,1.5242069238197808
NME,1.5047807017934867
SGF,1.4906233068841654
KWP,1.4893370144535136
KPY,1.4893370144535136
CDB,1.4875541964489878
GKN,1.4762625327993906
HYL,1.4729698013352734
BTT,1.4695098716152317
MFR,1.4687686709539483
GUM,1.4628746382165119
BIL,1.4623537127546598
AOS,1.4622524649053743
KTN,1.4558409182769885
KPR,1.4501909083522033
ORV,1.4146814089745654
NIB,1.4086994071208647
KKA,1.3796454526491018
CYF,1.3619987890295462
KLN,1.3608407501829385
SKK,1.3565487648048211
KOZ,1.3441369549901785
ASE,1.343734450521077
SDP,1.3435913505425747
DHB,1.331438320250807
SNP,1.3252184352021612
PSG,1.3204158635035006
MAF,1.3186730671748599
TLH,1.298639925739555
TIQ,1.2930284031372843
CAK,1.2906227863884832
FBS,1.278879234147281
WNA,1.2755433974688457
LCK,1.2642828787171982
KKI,1.263060332404931
PIP,1.2628698295348864
JAN,1.2622138910571161
KPB,1.2598149026124297
IAN,1.2579057866360472
PTH,1.2551864907599173
RDB,1.24499465934908
UGI,1.2353317175003016
CHA,1.2347188061360876
SYB,1.2345223068951676
WWT,1.2221433268833441
SVA,1.2170752738238393
KWN,1.211021848977309
MTJ,1.2097691949830751
ROA,1.191993146327602
WBQ,1.1888776522303557
TOG,1.1784470635625661
PAE,1.174331185026682
WWP,1.171712541718325
RDM,1.1653016748352367
PTK,1.1520258146829698
SOV,1.1442687882043934
GAM,1.1397906494051866
HCR,1.139590403515541
SHG,1.1349736946351963
WMO,1.1341660900342612
GCN,1.113323696787029
GST,1.1025703131525257
ATW,1.0985982467510658
WLK,1.0954645579816882
WTK,1.0939124242103815
GLV,1.0892421809476136
HUS,1.0840199118769305
MFE,1.0798994882916435
PGM,1.065308942258446
GRB,1.0637516607172146
GJT,1.0634167511817545
KLG,1.062453029618915
BKC,1.0613612627311393
KNK,1.061034394929183
KYU,1.0489428861291785
TKJ,1.046089427333409
CXF,1.0441775569946554
KVL,1.0426443692706762
MLI,1.0157167277502346
MSO,1.0083647096289985
ELI,1.007915565747677
CHO,0.9994705145378212
SHX,0.9865784528875665
HHR,0.9834018866635316
SBD,0.9721930978689437
AMA,0.9683693383363075
MRY,0.9658711426427694
SCE,0.9657912970810857
PPC,0.9651672133855674
FNT,0.9585168732897679
KWT,0.9572512825676768
PSC,0.9525331477312575
KBC,0.9504589043067845
FCA,0.9467535921563981
WAA,0.9464899273179773
DRT,0.9410317587467956
PIA,0.9362504277917656
STS,0.9232859085742134
IDA,0.9148015883668131
TLA,0.9146300789404357
FTW,0.9078399232101154
YAK,0.9054160538686834
MLB,0.9004704092697483
TLT,0.8881583804259011
KGX,0.8847262539924641
PGA,0.8809021833152221
GTF,0.8805751756117723
ABL,0.8783741799554975
KMO,0.8658700304878414
WHD,0.860645819075847
MTM,0.860645819075847
HYG,0.860645819075847
HNH,0.8519325013390056
SWF,0.8511616981869303
AKK,0.8471014928924188
TTN,0.8451841634412708
ENA,0.8414806727001909
ANV,0.8414474668712162
TYE,0.8412016148201762
EGE,0.8388595726665564
SDM,0.8338639521868595
CDV,0.8307696526064965
LPS,0.830653544787002
TAL,0.8261082073105119
KLL,0.8254967968943974
AKI,0.8202276597303546
APF,0.8141417957156389
KTS,0.8140948860230016
RAP,0.8120499415987442
TEK,0.8042219184935044
ILM,0.8032371945457739
CIK,0.7989393193867836
GNU,0.7981048704435696
NCN,0.7922988519114488
PIZ,0.780486456574754
BQN,0.775130018154766
KAE,0.771560249730677
SBP,0.7706880146704814
KYK,0.7673105935487629
NNL,0.7642152986395843
GNV,0.7580963035921489
LFT,0.7577449947909962
EGX,0.7548253246062298
LAL,0.7473605952152532
BMI,0.7373366998084094
CKD,0.7370303279130219
MNT,0.7351886728429492
1G4,0.7344776468161031
OLH,0.7344518255857204
BIS,0.7328541410542848
BGR,0.730036169650158
HKB,0.7276720535449219
FRG,0.7196185545874485
KPV,0.7195483200573627
IGG,0.7180423541669628
ACK,0.7123893249564326
DRG,0.705623298221431
BFB,0.7017451809514867
06A,0.7017451809514867
EHR,0.7017451809514867
CRP,0.7017057287798844
RDV,0.6915262873436534
AIN,0.6901035906218884
TVC,0.6895551712988546
MYU,0.68583206922136
PDB,0.6854992175432558
BVU,0.6849749254798722
OBU,0.6842802010939648
WRG,0.6768486226648447
KNW,0.673570886401071
ILN,0.6655873582875353
AGS,0.6643296927231973
ACT,0.6616739603309113
SUN,0.6600619406812003
AGN,0.6590685355891888
RIL,0.6588334634743959
ACV,0.6572148275420735
STX,0.6462539694299161
GYY,0.6459489547887663
SCF,0.6347931629809458
IRC,0.6343961636554859
STG,0.6334130936115774
