Airport Code,Page Rank
AKK,0.8475173227392603
TTN,0.8454027169101064
ANV,0.8418009356574717
ENA,0.8417569661287447
TYE,0.8416288005786384
EGE,0.8388195605922648
SDM,0.8341652509669752
CDV,0.8311138314596276
LPS,0.8310435297229566
TAL,0.8264445353062437
KLL,0.8258922059451372
AKI,0.8204608460056491
KTS,0.8143790032222106
APF,0.8143017121427288
RAP,0.8120662174380202
TEK,0.804657694561912
ILM,0.8031728550360927
CIK,0.7992929045867301
GNU,0.7983709185675061
NCN,0.792751514649162
PIZ,0.780776542593024
BQN,0.7750559986639942
KAE,0.7719363757196842
SBP,0.7707954797708186
KYK,0.7676995261734163
NNL,0.7645767191591812
GNV,0.7581027913945249
LFT,0.7577136913512572
EGX,0.7552499917005883
LAL,0.7473322190959092
CKD,0.7374947911390678
BMI,0.7373104781693192
MNT,0.7356501658920064
1G4,0.7349456179747778
OLH,0.7348063053096099
BIS,0.7328712223010292
BGR,0.7300349807638438
HKB,0.7281117901373564
KPV,0.7200428544667014
FRG,0.7197619636259324
IGG,0.7184043561057529
ACK,0.7129849576919668
DRG,0.705908278323294
BFB,0.702117786174523
06A,0.702117786174523
EHR,0.702117786174523
CRP,0.70170248919799
RDV,0.6919739561707294
AIN,0.6904165781451361
TVC,0.6895512889126117
MYU,0.6860343837525911
PDB,0.6858296540856598
BVU,0.6853531945804272
OBU,0.6845885806130174
WRG,0.6771487358523105
KNW,0.6739303118720759
ILN,0.6655776262390543
AGS,0.6643304315667192
ACT,0.6617155436868458
SUN,0.6602979528402801
AGN,0.659456420895796
RIL,0.6589626172748211
ACV,0.6574293606994052
STX,0.6462899958427588
GYY,0.6460573588931501
SCF,0.6349589990637262
IRC,0.6347715973256359
STG,0.6337718145117751
KCG,0.6261650935925025
BRO,0.6250413654065355
EAA,0.6224082629686942
BLI,0.6207244220723219
SVS,0.6187978292629699
AVP,0.6160915789341636
TOL,0.615048124250736
BNH,0.6136963078317978
KEK,0.6083446660525785
DRO,0.5951826075969694
DJN,0.5864276842923728
MCN,0.5862490359292398
DAB,0.5807609638461486
HNS,0.5760938950058204
DLH,0.5741877073156908
SLQ,0.5729758000320521
RST,0.5721957514289117
SKW,0.5705999580186654
CSG,0.5604126183247086
TKE,0.5570252383033621
ESD,0.5568005597004115
CPR,0.5483967305476827
ADS,0.5456718733575913
EVV,0.5449889976664675
UGS,0.5449619485917323
YUM,0.5419822818807745
CRW,0.5405046230481855
KCQ,0.5377320460801936
MOB,0.535138961622103
LNK,0.5350273336722277
KLW,0.5316493592169415
LAN,0.5295422546488133
PDK,0.5287086560562064
BLV,0.5283601528693094
PTA,0.5267415187647726
KEB,0.5247190738609284
USA,0.5216128424376668
KGK,0.5214014689624987
PSM,0.5197236262480658
LNY,0.5147335897924995
SAF,0.5107730549774248
MOT,0.5069839448337368
GFK,0.49959299602077356
HSH,0.49670151768665505
ATK,0.4949421992666324
TRI,0.4909085779947468
PTU,0.49003787434278484
PVU,0.4864652437354505
CPX,0.47977249883561485
RMP,0.4746499852377034
PKB,0.471246883120691
7AK,0.47066786214225764
SUS,0.4673319793247128
YKM,0.46588311692166257
GRI,0.4591150458895954
KCL,0.45719172709885664
CPS,0.45498238605869773
MGM,0.4541098155648077
IAG,0.44908500762010745
ELM,0.4475308768714329
TN8,0.44460848302689554
BFL,0.4340599554789653
SGY,0.43311498209363525
WMK,0.43061040671970563
ZXH,0.43061040671970563
ITO,0.43029641010466346
FRD,0.43003561359361636
EXI,0.4270214654712584
PEC,0.4270214654712584
PTL,0.42290842100655895
TUP,0.42070476306952165
ABI,0.42005416309512683
LUK,0.41883619393820387
RIV,0.41850412740524606
UTO,0.4174966027967813
CZN,0.4169909919863426
BCT,0.41472388581919567
ITH,0.41455061392403214
COU,0.4135903407348215
MYK,0.4085914405435536
MXY,0.4085914405435536
SLN,0.40380857028529177
MHK,0.40154120564310986
NLG,0.4009691108480677
HTS,0.3983406919028755
MVY,0.39338405964729795
CLD,0.3929660466471829
09A,0.38066899992557185
ORH,0.3760334086902684
FAY,0.3724575270932367
PTD,0.3721364810343834
MKC,0.3717160746089903
CWA,0.36952033708924975
SGU,0.3691936150573219
